Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
253,2,84,790.667,222.667,0,16,3611.313,223.316,NA,30.405,NA,-127.875,1.931
254,2,85,758.667,201.333,0,0,3649.772,188.203,NA,38.459,NA,-146.31,-18.435
255,2,86,732,186.667,0,3.7,3680.206,160.272,NA,30.434,NA,-151.189,-4.879
256,2,87,702.667,166.667,0,5.7,3715.709,131.101,NA,35.503,NA,-145.713,5.476
257,2,88,658.667,164,0,12.1,3759.79,87.686,NA,44.081,NA,-176.532,-30.819
258,2,89,606.667,176,0,5.8,3813.156,34.692,NA,53.367,NA,167.005,-16.463
259,2,90,558.667,204,0,7.8,3868.726,29.814,NA,55.57,NA,149.744,-17.262
260,2,91,508,256,0,10,3941.329,101.412,NA,72.602,NA,134.256,-15.488
261,2,92,482.667,309.333,0,7.7,4000.373,159.388,NA,59.044,NA,115.408,-18.848
262,2,93,478.667,365.333,0,10.1,4056.515,209.893,NA,56.143,NA,94.086,-21.322
263,2,94,492,429.333,0,6.7,4121.89,264.394,NA,65.374,NA,78.232,-15.854
264,2,95,521.333,482.667,0,11,4182.757,309.509,NA,60.868,NA,61.189,-17.043
265,2,96,560,513.333,0,5.8,4232.109,336.214,NA,49.351,NA,38.418,-22.771
266,2,97,601.333,530.667,0,3,4276.929,354.549,NA,44.821,NA,22.751,-15.667
267,2,98,644,533.333,0,37.1,4319.679,363.208,NA,42.75,NA,3.576,-19.175
268,2,99,681.333,532,0,12,4357.036,371.136,NA,37.357,NA,-2.045,-5.622
269,2,100,708,528,0,6.2,4384.001,376.116,NA,26.965,NA,-8.531,-6.485
270,2,101,750.667,504,0,10.8,4432.955,372.334,NA,48.953,NA,-29.358,-20.827
271,2,102,785.333,474.667,0,4.1,4478.367,365.948,NA,45.412,NA,-40.236,-10.879
272,2,103,809.333,437.333,0,16.1,4522.749,352.033,NA,44.382,NA,-57.265,-17.028
273,2,104,817.333,410.667,0,0,4550.59,338.575,NA,27.841,NA,-73.301,-16.036
274,2,105,825.333,366.667,0,28.1,4595.311,316.267,NA,44.721,NA,-79.695,-6.394
275,2,106,818.667,321.333,0,14.1,4641.132,285.623,NA,45.821,NA,-98.366,-18.671
276,2,107,808,288,0,20.1,4676.13,260.659,NA,34.998,NA,-107.745,-9.379
277,2,108,781.333,244,0,3.1,4727.58,219.693,NA,51.45,NA,-121.218,-13.474
278,2,109,745.333,221.333,0,8.1,4770.122,178.831,NA,42.541,NA,-147.804,-26.586
279,2,110,713.333,201.333,0,5.1,4807.858,143.357,NA,37.736,NA,-147.995,-0.19
280,2,111,681.333,193.333,0,3.1,4840.843,110.498,NA,32.985,NA,-165.964,-17.969
281,2,112,648,193.333,0,5.2,4874.176,77.666,NA,33.333,NA,180,-14.036
282,2,113,608,196,0,1.9,4914.265,40.552,NA,40.089,NA,176.186,-3.814
283,2,114,586.667,210.667,0,2,4940.153,36.417,NA,25.889,NA,145.491,-30.694
284,2,115,553.333,234.667,0,7.7,4981.228,60.296,NA,41.074,NA,144.246,-1.245
285,2,116,526.667,266.667,0,10.7,5022.883,100.178,NA,41.655,NA,129.806,-14.441
286,2,117,502.667,312,0,8,5074.177,151.467,NA,51.294,NA,117.897,-11.908
287,2,118,501.333,352,0,9.2,5114.199,188.42,NA,40.022,NA,91.909,-25.988
288,2,119,502.667,392,0,12.7,5154.221,225.586,NA,40.022,NA,88.091,-3.818
289,2,120,513.333,433.333,0,8.7,5196.909,262.636,NA,42.687,NA,75.53,-12.561
290,2,121,534.667,478.667,0,13.7,5247.011,303.637,NA,50.102,NA,64.799,-10.731
